,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_train_accuracy,mean_train_balanced_accuracy,mean_train_f1,param_krr__alpha,param_krr__gamma,params,rank_test_accuracy,rank_test_balanced_accuracy,rank_test_f1,split0_test_accuracy,split0_test_balanced_accuracy,split0_test_f1,split0_train_accuracy,split0_train_balanced_accuracy,split0_train_f1,split1_test_accuracy,split1_test_balanced_accuracy,split1_test_f1,split1_train_accuracy,split1_train_balanced_accuracy,split1_train_f1,split2_test_accuracy,split2_test_balanced_accuracy,split2_test_f1,split2_train_accuracy,split2_train_balanced_accuracy,split2_train_f1,split3_test_accuracy,split3_test_balanced_accuracy,split3_test_f1,split3_train_accuracy,split3_train_balanced_accuracy,split3_train_f1,split4_test_accuracy,split4_test_balanced_accuracy,split4_test_f1,split4_train_accuracy,split4_train_balanced_accuracy,split4_train_f1,std_fit_time,std_score_time,std_test_accuracy,std_test_balanced_accuracy,std_test_f1,std_train_accuracy,std_train_balanced_accuracy,std_train_f1
74,114.8843415737152,6.644674777984619,0.8000338466745642,0.680844334601117,0.7709066980418788,0.8301489253680826,0.7191459817077962,0.8071292211390139,0.001,1e-05,"{'krr__alpha': 0.001, 'krr__gamma': 1e-05}",1,21,4,0.7997969199526147,0.6777397260273973,0.7698891266290604,0.8295396852259266,0.7193733413235168,0.8066234701223903,0.8063970214926384,0.6924657534246575,0.779491133384734,0.8314012523269588,0.7196301686499443,0.8083858248785882,0.7977661194787612,0.6767123287671233,0.7678259180104915,0.8302166187172111,0.7186028593442342,0.8070765828565934,0.7964122524961923,0.6845890410958904,0.7686983272447605,0.8289473684210527,0.717061895385669,0.8055782640057707,0.7997969199526147,0.6727148236905169,0.7686289849403481,0.8306397021492639,0.7210616438356164,0.8079819638317264,3.2262901796618033,0.6001600262746304,0.0034310579515922637,0.0069553032494331654,0.0043424432267581865,0.000851901367314463,0.0013110521330329337,0.0009970201569714252
106,111.2608994960785,6.980116081237793,0.7995261465561009,0.703376752191265,0.7761509166538396,0.8999069216449485,0.8304054397552283,0.8913044563656838,1.0,0.001,"{'krr__alpha': 1, 'krr__gamma': 0.001}",2,4,1,0.8011507869351836,0.7030821917808219,0.7775042605567127,0.8992638348282281,0.8296378734697372,0.8905941276478426,0.8050431545100694,0.7143835616438357,0.7836213373403456,0.8986292096801489,0.8291242188168821,0.8899200588073142,0.7937045185310543,0.6886986301369863,0.7674107994657509,0.901379251988492,0.8322061467340125,0.8929407982363479,0.7979353528515823,0.7113013698630137,0.7767389678384443,0.8999830766627179,0.8313500556459207,0.8914899476728173,0.7997969199526147,0.6994180075316673,0.7754792180679446,0.9002792350651548,0.8297089041095891,0.8915773494640968,3.8166840118791456,0.17227703793923604,0.0037302045206690985,0.009112135992446426,0.0051927903212117595,0.0009336254097814592,0.0011705290945137575,0.0010205504272579194
95,113.46904544830322,6.40721697807312,0.7994246065324082,0.6871456575670745,0.7719822496172143,0.8298696903029278,0.7246079249407479,0.8080500951920282,0.1,0.0001,"{'krr__alpha': 0.1, 'krr__gamma': 0.0001}",3,17,3,0.8016584870536471,0.689041095890411,0.7744418783679753,0.8300050770011846,0.72425306052564,0.8081001050721177,0.8050431545100694,0.6955479452054795,0.7790563866513234,0.8299204603147741,0.7234825785463573,0.8078577573845712,0.7964122524961923,0.6821917808219178,0.7680740312319259,0.8304704687764427,0.7243386696344492,0.8085431697644416,0.7991199864613302,0.6955479452054795,0.7738616879405602,0.8295396852259266,0.7251091516137317,0.8078592207544469,0.7948891521408021,0.6733995207120849,0.7644772638942868,0.8294127601963107,0.7258561643835616,0.8078902229845625,2.830880356086917,0.4835609799093149,0.0036413107619646732,0.00846506627022928,0.00512297683829698,0.00037404021163140686,0.0008092170987756013,0.0002625298184536355
53,116.09100461006165,6.50594220161438,0.7992215264850229,0.6785842482167393,0.7696041999036939,0.8316889490607547,0.7212006501601359,0.8089828069345393,1e-05,1e-06,"{'krr__alpha': 1e-05, 'krr__gamma': 1e-06}",4,30,6,0.7981045862244035,0.6756849315068493,0.7678536680287993,0.8312743272973431,0.7211711326085095,0.8086004991361107,0.8052123878828905,0.6880136986301372,0.7773263687366995,0.8332205110847859,0.7224552692406472,0.8106628242074928,0.8006430868167203,0.6787671232876712,0.7709062621548036,0.8311897106109325,0.7215991781525555,0.8086147352264007,0.7957353190049078,0.6804794520547945,0.767033391237213,0.8300473853443899,0.7168050680592415,0.806530848143332,0.7964122524961923,0.6699760356042451,0.7649013093609537,0.8327128109663225,0.7239726027397261,0.8105051279593598,2.4011240165024303,0.3429280915024596,0.0034410600851958115,0.005916876502754204,0.004315503588061955,0.0011410396230182645,0.0023974414692742307,0.0015121942526595564
64,113.29867820739746,6.787803077697754,0.794855305466238,0.6902272162376367,0.7687853126128489,0.8665256388559823,0.7790220170796036,0.8522613075596455,0.0001,1e-05,"{'krr__alpha': 0.0001, 'krr__gamma': 1e-05}",5,11,7,0.7965814858690133,0.6914383561643835,0.7706106870229007,0.8660517854120833,0.77835801729304,0.8517096018735364,0.8040277542731427,0.7041095890410959,0.7802656546489564,0.8660517854120833,0.7767314442256656,0.8514451951951952,0.7881198172279573,0.6763698630136986,0.7593233371780085,0.8668979522761888,0.7802414176868419,0.8528118274539159,0.7920121848028431,0.6965753424657535,0.7679818765338872,0.8658825520392621,0.7788716719458949,0.8516334363006646,0.7935352851582332,0.6826429305032523,0.7657450076804916,0.8677441191402945,0.7809075342465753,0.8537064769749158,2.0110379247210433,0.5096551079436911,0.005334905930312135,0.009839039278895696,0.006849061070644722,0.0007051164886105829,0.0014664471489189068,0.0008667442144217751
85,113.26907839775086,6.516660976409912,0.7948214587916738,0.6941999831170598,0.7697755817702586,0.8804535454391604,0.7990720089877837,0.8685337840972841,0.01,0.0001,"{'krr__alpha': 0.01, 'krr__gamma': 0.0001}",6,7,5,0.7991199864613302,0.6976027397260274,0.7743774947728571,0.8795904552377729,0.7989898125160517,0.8677017478616587,0.8028431206633948,0.7030821917808219,0.7789793208119902,0.8789558300896937,0.7948805752932112,0.8665017964630675,0.7893044508377052,0.6842465753424658,0.7624499141385231,0.8816212557116263,0.8013012584538995,0.8699693280044615,0.7933660517854121,0.7058219178082191,0.7714766984839978,0.8802250803858521,0.7995034671689067,0.8683806778557812,0.7894736842105263,0.6802464909277645,0.7615944806439249,0.8818751057708579,0.8006849315068493,0.8701153703014514,2.44264378926156,0.4986409874516766,0.005366165830456976,0.010191290593993771,0.006773123881865688,0.0011335478200253522,0.0022508709902038983,0.0013716341199340668
43,112.73563237190248,6.3724539279937735,0.7941783719749536,0.6887889304188376,0.76783850144227,0.8636232865121002,0.7748099726989033,0.8488382449699973,1e-06,1e-06,"{'krr__alpha': 1e-06, 'krr__gamma': 1e-06}",7,14,8,0.7964122524961923,0.6914383561643835,0.770463651974814,0.8620324928075817,0.7731358616556802,0.8470665478591193,0.7997969199526147,0.6982876712328767,0.7751378065006652,0.8637248265357929,0.7736495163085352,0.8487438365813571,0.7898121509561685,0.678082191780822,0.7612456747404844,0.864655610086309,0.7760465713551922,0.8500164095831965,0.7916737180572009,0.6945205479452055,0.7671647437109893,0.8630055847013031,0.7747624347230545,0.8482519448870559,0.7931968184125909,0.6816158849709004,0.7651806302843966,0.8646979184295143,0.7764554794520548,0.8501124859392577,2.7058685496866004,0.9066091691564911,0.0035456713944986736,0.007696542165972596,0.004714973216172549,0.0010142007921118618,0.001295255603310672,0.0011404677362672336
21,112.75026378631591,6.203909683227539,0.7941106786258249,0.6876247344454189,0.7674803787133533,0.863014046369944,0.7743818949048507,0.8481928049961468,1e-10,1e-08,"{'krr__alpha': 1e-10, 'krr__gamma': 1e-08}",8,16,10,0.7975968861059399,0.6883561643835616,0.7707055214723926,0.8607209341682179,0.7709100248266415,0.8454605201389541,0.7977661194787612,0.7003424657534246,0.7738883632923369,0.8640209849382298,0.7769026624432841,0.8495600074892343,0.7913352513115587,0.6804794520547945,0.7632033800652968,0.8644440683702826,0.7767314442256656,0.8499297423887587,0.7901506177018108,0.6900684931506851,0.7647058823529412,0.8626671179556609,0.7727934252204435,0.8476056338028168,0.7937045185310543,0.6788770968846286,0.7648987463837994,0.8632171264173295,0.7745719178082192,0.8484081211609698,1.063141407462534,0.9814968159007216,0.003132600700535853,0.007691864004561181,0.0041016870956983136,0.0013022175395641091,0.0023016462576082673,0.0015964150941978673
32,113.96708436012268,6.305901193618776,0.7940429852766966,0.6878986835996305,0.7674960661588667,0.8632086647486885,0.7746387412881005,0.8484197241538235,1e-08,1e-07,"{'krr__alpha': 1e-08, 'krr__gamma': 1e-07}",9,15,9,0.7977661194787612,0.6907534246575342,0.7714668196595907,0.8612286342866813,0.7725365978940161,0.846211552888222,0.7977661194787612,0.6962328767123288,0.7728568713172401,0.8635132848197664,0.7736495163085352,0.8485446009389671,0.7909967845659164,0.6804794520547945,0.7629103474755229,0.8645286850566932,0.7767314442256656,0.8500093685591156,0.7911660179387375,0.6928082191780822,0.7662878787878789,0.8632594347605348,0.7745912165054362,0.8484621155288822,0.7925198849213064,0.6792194453954126,0.7639584135541009,0.8635132848197664,0.7756849315068494,0.8488709828539306,1.8277675678165572,1.0728986379224223,0.0030854358233415647,0.006813017444054541,0.003987696924986747,0.0010817706423758506,0.0014747034327725788,0.0012348291645465704
96,111.79857721328736,6.507092094421386,0.7916737180572009,0.7144717984552109,0.7721720958702749,0.9758673210357084,0.9536504251723616,0.9750361189796196,0.1,0.001,"{'krr__alpha': 0.1, 'krr__gamma': 0.001}",10,2,2,0.7881198172279573,0.7126712328767123,0.7687476911710379,0.9766034862074802,0.9552264360928002,0.975818794000612,0.7977661194787612,0.7253424657534246,0.7799668569324251,0.9757996276865798,0.9535142539166168,0.9749649859943976,0.7850736165171772,0.7003424657534246,0.7630597014925372,0.9760534777458116,0.9537710812430442,0.9752275910364144,0.7942122186495176,0.7222602739726027,0.7762237762237763,0.9753765442545269,0.952658162828525,0.9745161572817236,0.7931968184125909,0.7117425539198905,0.7728624535315984,0.9755034692841428,0.953082191780822,0.9746530665849492,1.338423925150472,0.3886948135906385,0.004518245820535502,0.008822251562127244,0.005872193563619835,0.0004369040664554322,0.0008745724287767536,0.0004629019211338714
63,112.38214836120605,6.740811395645141,0.7867659502453884,0.674064239587681,0.757518414271269,0.8002030800473854,0.6909287518191936,0.7736526662479619,0.0001,1e-06,"{'krr__alpha': 0.0001, 'krr__gamma': 1e-06}",11,33,12,0.7865967168725673,0.6712328767123288,0.7566106929164255,0.7990776781181249,0.6902662443283966,0.7725029940119761,0.7933660517854121,0.6880136986301372,0.7669402557740026,0.8013623286512099,0.6922352538310076,0.7750035941917861,0.7906583178202742,0.6777397260273973,0.7618864292589028,0.8002200033846675,0.6894957623491139,0.7733077292366779,0.7821966491792182,0.6712328767123288,0.7528327251776455,0.7992469114909461,0.6888964985874497,0.7723019338739863,0.7810120155694703,0.6621020198562136,0.7493219682293685,0.8011084785919783,0.69375,0.7751470799253838,1.890807246079964,0.3808729904376429,0.004748195069690351,0.008570000472735656,0.006289865186039436,0.0009321671588370424,0.001804927533128805,0.0012102466101358606
42,111.94144945144652,6.146009254455566,0.7859197833812828,0.6737214455548626,0.7567092259646866,0.8026738872905737,0.6953462243451197,0.7769310031602509,1e-06,1e-07,"{'krr__alpha': 1e-06, 'krr__gamma': 1e-07}",12,34,13,0.7860890167541039,0.6708904109589041,0.756078734079506,0.8014469453376206,0.6946323088776646,0.7756799388174562,0.7899813843289897,0.6852739726027397,0.7633034522220102,0.8039854459299374,0.6985703278828868,0.7788860783658664,0.7882890506007785,0.6746575342465754,0.7590059718743979,0.8011930952783889,0.6933481722455269,0.7751351868689286,0.7811812489422915,0.6708904109589041,0.7518710420264824,0.8034354374682687,0.6939474360071911,0.7772557292166076,0.7840582162802505,0.6668948990071893,0.7532869296210363,0.8033085124386529,0.6962328767123288,0.7776980825323961,3.4855119342796166,0.8647857487222644,0.003100251926905917,0.006276438397136736,0.0041055211071797095,0.0011314614757452401,0.0018782700734560707,0.001364279661686067
