,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_f1,mean_train_accuracy,mean_train_balanced_accuracy,mean_train_f1,param_krr__alpha,param_krr__coef0,param_krr__degree,params,rank_test_accuracy,rank_test_balanced_accuracy,rank_test_f1,split0_test_accuracy,split0_test_balanced_accuracy,split0_test_f1,split0_train_accuracy,split0_train_balanced_accuracy,split0_train_f1,split1_test_accuracy,split1_test_balanced_accuracy,split1_test_f1,split1_train_accuracy,split1_train_balanced_accuracy,split1_train_f1,split2_test_accuracy,split2_test_balanced_accuracy,split2_test_f1,split2_train_accuracy,split2_train_balanced_accuracy,split2_train_f1,split3_test_accuracy,split3_test_balanced_accuracy,split3_test_f1,split3_train_accuracy,split3_train_balanced_accuracy,split3_train_f1,split4_test_accuracy,split4_test_balanced_accuracy,split4_test_f1,split4_train_accuracy,split4_train_balanced_accuracy,split4_train_f1,std_fit_time,std_score_time,std_test_accuracy,std_test_balanced_accuracy,std_test_f1,std_train_accuracy,std_train_balanced_accuracy,std_train_f1
120,108.89750118255616,5.413717269897461,0.7677779658148587,0.6896794117233261,0.7458807193527959,0.9235234388221357,0.8755735956881153,0.9188047302380941,0.01,1,2,"{'krr__alpha': 0.01, 'krr__coef0': 1, 'krr__degree': 2}",14,20,14,0.766457945506854,0.6876712328767123,0.7442550037064493,0.9225334235911322,0.8744970464857461,0.9177485288172139,0.7733965137925198,0.6993150684931507,0.7530886962935645,0.922956507023185,0.8751819193562195,0.9182197871289353,0.7662887121340328,0.6842465753424658,0.7431653338292727,0.9246065324081909,0.8770653197500214,0.919989224137931,0.7676425791166018,0.6965753424657535,0.7476566807572138,0.92371805720088,0.8752675284650286,0.9189699339355535,0.765104078524285,0.6805888394385484,0.7412378821774795,0.9238026738872905,0.8758561643835616,0.9190961771708369,8.636040350483016,0.4258539398476203,0.002922205137133085,0.00716361277675136,0.004163680521588277,0.0007197891459853175,0.0008615255566323132,0.0007711004159552922
167,141.570370054245,19.772753381729125,0.7658825520392621,0.6761876445015547,0.7405435772556567,0.9672702656963953,0.9380521684904535,0.9659023615209614,10,1,7,"{'krr__alpha': 10, 'krr__coef0': 1, 'krr__degree': 7}",15,38,17,0.7710272465730242,0.686986301369863,0.7478098788443617,0.9677187341343713,0.9387894872014382,0.9663802599691561,0.7671348789981385,0.6839041095890411,0.7437616387337057,0.9661110170925706,0.9364780412635905,0.9646809824066317,0.7656117786427483,0.6736301369863014,0.7396127091558563,0.9680572008800136,0.9393887509631025,0.9667415532355402,0.7642579116601794,0.6760273972602739,0.7391874180865008,0.9678033508207818,0.938703878092629,0.9664624741086774,0.7613809443222204,0.6603902773022937,0.7323462414578588,0.9666610255542393,0.9369006849315068,0.9652465378848019,9.134963889909127,2.2241567023370794,0.003194165032974527,0.009298152051919374,0.005158624928170116,0.0007509462762678647,0.0011453041435535273,0.0007960185116175224
177,143.90984196662902,20.086746311187746,0.761787104416991,0.6759814146965993,0.7371460266947093,0.7797258419360298,0.6970241965936956,0.7577290247337781,100,1,3,"{'krr__alpha': 100, 'krr__coef0': 1, 'krr__degree': 3}",16,39,19,0.7640886782873583,0.6736301369863014,0.7383633633633634,0.7800812320189542,0.6989127643181234,0.7585245749326397,0.7703503130817397,0.6941780821917808,0.7492145629273701,0.7790658317820274,0.6958308364009931,0.7568674923177205,0.7564731765104079,0.6705479452054794,0.7312791783380018,0.778558131663564,0.695317181748138,0.7563087810783127,0.7568116432560501,0.6702054794520548,0.731452065034573,0.7812235572854968,0.6968581457067032,0.75893897720386,0.7612117109493992,0.6713454296473811,0.7354209638102381,0.7797004569301066,0.6982020547945206,0.7580052981363572,12.404560866505784,1.5161757024507148,0.005137117988127708,0.009176312885225907,0.0065870847322162035,0.0009131548019261613,0.0013652559555301965,0.0009932313161138784
151,141.13542213439942,19.003330850601195,0.7563377898121509,0.6784474729521228,0.7334648811143601,0.9809697072262649,0.9627251446266213,0.9803927632715903,1,1,5,"{'krr__alpha': 1, 'krr__coef0': 1, 'krr__degree': 5}",17,33,20,0.7556270096463023,0.6839041095890411,0.7344611989702096,0.9815958707057032,0.963787346973718,0.9810465774911769,0.7569808766288713,0.6811643835616439,0.7347617288511267,0.9805804704687764,0.962331992123962,0.9799921537857984,0.756642409883229,0.6760273972602739,0.7330115113256591,0.9811727872736503,0.9627600376680079,0.9805990321314905,0.7573193433745135,0.6842465753424658,0.7359116022099448,0.980961245557624,0.9626744285591987,0.9803836094158676,0.7551193095278389,0.6668948990071893,0.7291783642148606,0.9805381621255712,0.9620719178082192,0.9799424435336183,11.760822672456829,2.206088161807101,0.0008318298004700992,0.006482357692824465,0.002334124192789311,0.0003927162425409536,0.0005853781062931548,0.0004082595977772812
195,138.71103043556212,17.62372007369995,0.7522423421898798,0.6576261648056352,0.7240182647692596,0.81842951430022,0.7402746645119753,0.801181667182141,1000,1,7,"{'krr__alpha': 1000, 'krr__coef0': 1, 'krr__degree': 7}",18,77,25,0.7520731088170587,0.6547945205479452,0.7230100207978825,0.8179048908444745,0.743600719116514,0.8014393799594022,0.7554577762734811,0.6657534246575343,0.7290455653478344,0.8177356574716534,0.7391490454584367,0.800333704115684,0.7481807412421729,0.6547945205479452,0.7198795180722891,0.8188356743949907,0.7383785634791542,0.8011331971019877,0.7520731088170587,0.6547945205479452,0.7230100207978825,0.8184548993061431,0.7384641725879634,0.8008169707097433,0.7534269757996277,0.6579938377268059,0.7251461988304093,0.8192164494838382,0.7417808219178083,0.8021850840238878,7.079155479279478,1.5536939017385873,0.0023789180424174093,0.004248344705496001,0.003023518559128116,0.0005552557020315777,0.002072257114876699,0.0006209115011962933
142,146.02889256477357,21.57058901786804,0.744119140294466,0.7455652971163,0.7422612791005838,0.9017600270773396,0.9041846773181599,0.9009607768121013,1,0,3,"{'krr__alpha': 1, 'krr__coef0': 0, 'krr__degree': 3}",19,8,16,0.737011338635979,0.7404109589041096,0.7356243620279005,0.9028177356574717,0.9040321890249122,0.9019088696246316,0.7490269081062786,0.7551369863013698,0.748345494654675,0.9014638686749027,0.9030048797192021,0.9005763073639274,0.7451345405313928,0.7421232876712329,0.7421232876712329,0.9018023354205449,0.9042034072425306,0.9010023459159736,0.7407344728380436,0.7434931506849315,0.7391896493020089,0.9013792519884921,0.9036041434808664,0.9005588498784182,0.7486884413606363,0.7466621020198562,0.746023601847101,0.9013369436452868,0.9060787671232877,0.9007575112775555,11.060349512798286,2.036028860412226,0.004646989411997296,0.005206316108548503,0.004575486222060981,0.0005535768229411675,0.001033452620131477,0.0005002573069334586
194,141.17411775588988,18.413725709915163,0.7440176002707733,0.6606396289504908,0.7183592589621703,0.7854205449314605,0.7107390089045201,0.7660159388977366,1000,1,6,"{'krr__alpha': 1000, 'krr__coef0': 1, 'krr__degree': 6}",20,74,30,0.7424268065662548,0.6517123287671233,0.7143393393393392,0.7844812997123033,0.7120965670747368,0.7655775425678784,0.7490269081062786,0.6726027397260274,0.7259286638329329,0.7857505500084617,0.7096139029192706,0.7660105350706959,0.7410729395836859,0.6592465753424658,0.7156133828996283,0.7860467084108986,0.7094426847016523,0.7662151541768759,0.742596039939076,0.6582191780821918,0.7164958061509786,0.7858774750380775,0.71072682133379,0.7663974151857835,0.7449653071585717,0.6614173228346457,0.7194191025879725,0.7849466914875614,0.7118150684931507,0.7658790474874487,8.308580839022357,1.7248884485924487,0.0028004927525385297,0.006800245532770797,0.004137419585033143,0.0006027417098834963,0.0010906270561169182,0.0002814855901729544
135,145.97261385917665,20.149396705627442,0.7429345066847183,0.6705023847153113,0.720518489490819,0.9739042139109833,0.9509108955768235,0.9729845653821692,0.1,1,3,"{'krr__alpha': 0.1, 'krr__coef0': 1, 'krr__degree': 3}",21,53,26,0.7412421729565071,0.6726027397260274,0.7198094190947406,0.9745726857336267,0.9520588990668607,0.9736899706693516,0.7481807412421729,0.675,0.7259668508287294,0.9742765273311897,0.951716462631624,0.9733823658173539,0.7403960060924014,0.6684931506849315,0.7179109966899595,0.9727534269757996,0.9491481893673487,0.9717766675431677,0.7400575393467592,0.6712328767123288,0.718475073313783,0.974022677271958,0.950774762434723,0.9731008499079995,0.7447960737857505,0.6651831564532694,0.7204301075268817,0.9738957522423421,0.9508561643835617,0.972972972972973,5.9837387525400985,2.5227856626113474,0.0031168358593931292,0.0033913084103441146,0.0028694878234865186,0.0006203043766495761,0.0010095059395300904,0.0006524592661279381
176,110.05507502555847,5.602495241165161,0.7423591132171264,0.6701596844766053,0.7199286680540522,0.749246911490946,0.6780700232669139,0.7277244590929665,100,1,2,"{'krr__alpha': 100, 'krr__coef0': 1, 'krr__degree': 2}",22,55,28,0.7451345405313928,0.6657534246575343,0.7208008898776419,0.7476307327805043,0.6787946237479667,0.7266645282500114,0.7502115417160264,0.6893835616438356,0.7317339149400218,0.7485615163310205,0.6774248780070199,0.7269971059763883,0.7359959383990523,0.6606164383561643,0.7120708748615725,0.7500423083432053,0.6772536597894016,0.7281178094799816,0.7395498392282959,0.6664383561643835,0.7166267722334746,0.7502115417160264,0.6771680506805924,0.7282268458847357,0.7409037062108648,0.6686066415611092,0.7184108883575501,0.7497884582839736,0.6797089041095891,0.7286160058737151,1.562576297443943,0.37321124000711625,0.004896199623599538,0.009962995053235214,0.0065585929896752075,0.0009938048804564656,0.0010106624118749973,0.0007555750956477947
106,103.87959809303284,4.7330690860748295,0.7410052462345573,0.6715303681887888,0.7192554053984954,0.9609917075647317,0.932555974284431,0.9593979313989116,0.001,1,2,"{'krr__alpha': 0.001, 'krr__coef0': 1, 'krr__degree': 2}",23,50,29,0.7343036046708411,0.6640410958904109,0.7118208516886931,0.9606109324758842,0.9339097679993151,0.9590751241812827,0.751057708580132,0.6914383561643835,0.7329823924487202,0.9607801658487054,0.9327112404759866,0.9591935554870802,0.7397190726011169,0.663013698630137,0.7157116451016636,0.9610763242511423,0.9326256313671775,0.9594856438259646,0.7419191064477915,0.6825342465753425,0.7232807113046634,0.9607378575055001,0.9318551493878948,0.9591153405586395,0.7380267388729057,0.65662444368367,0.7124814264487369,0.9617532577424268,0.9316780821917808,0.9601199929415917,7.55193846873158,1.0082627933413564,0.005609365170245699,0.013177425925159312,0.007979359345616386,0.00041019460631378033,0.0007903881557588468,0.0003885609186145702
